"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","25","29","0","0","6","0","60","0","COUNTY TRANSFER - OUT","25","12","1","0","11","2","51"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","0","0","0","1","0","3"
"ELDERLY / DISABLED","0","0","0","0","1","0","1","0","DEATH NOTICE","38","15","0","0","3","0","56"
"FROM ANOTHER BOARD","7","0","0","0","1","0","8","0","DUPLICATE","0","3","0","0","1","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","95","98","3","4","73","1","274","8","MOVED OUT OF STATE","2","6","0","0","1","1","10"
"NVRA BY MAIL","2","2","1","0","0","0","5","0","OTHER","3","1","0","0","2","0","6"
"OTHER MEANS","4","1","0","0","1","0","6","35","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","190","120","0","0","6","0","316"
"SOCIAL SERVICES","1","1","0","0","1","0","3","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","134","132","4","4","83","1","358","43","TOTAL","260","157","1","0","25","3","446"
