"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","47","43","0","2","16","2","110","141","COUNTY TRANSFER - OUT","46","40","0","0","20","1","107"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","39","22","0","0","5","0","66"
"FROM ANOTHER BOARD","1","1","0","0","0","0","2","2","DUPLICATE","5","3","0","0","1","0","9"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","92","91","1","0","15","49","248"
"IN PERSON","1","1","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","103","83","2","1","69","0","258","207","MOVED OUT OF STATE","6","15","0","0","2","0","23"
"NVRA BY MAIL","4","1","0","0","5","0","10","1","OTHER","1","1","0","0","1","0","3"
"OTHER MEANS","2","1","0","0","2","0","5","12","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","86","71","0","0","2","0","159"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","1","0","0","0","0","2","0","","","","","","","",""
"TOTAL","159","131","2","3","92","2","389","366","TOTAL","276","244","1","0","46","50","617"
