"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","1","0","3","2","BOARD ACTION","0","0","0","0","1","0","1"
"BY MAIL","359","58","2","0","98","4","521","104","COUNTY TRANSFER - OUT","846","101","1","1","137","4","1,090"
"DESIGNATED STATE AGENCIES","7","1","0","0","1","0","9","0","CRIMINAL CONVICTION","24","5","0","0","1","0","30"
"ELDERLY / DISABLED","0","1","0","0","0","0","1","4","DEATH NOTICE","782","75","2","1","41","1","902"
"FROM ANOTHER BOARD","1","0","0","0","1","0","2","0","DUPLICATE","63","19","0","0","11","1","94"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","5","MAIL VERIFICATION (NVRA)","1,059","169","16","4","192","11","1,451"
"IN PERSON","6","0","0","0","0","0","6","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,542","219","10","6","408","7","2,192","246","MOVED OUT OF STATE","228","36","0","0","35","0","299"
"NVRA BY MAIL","4","4","0","0","1","0","9","0","OTHER","49","2","0","0","5","2","58"
"OTHER MEANS","136","18","4","0","19","2","179","13","VOTER REQUEST","7","1","0","0","1","0","9"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","26","2","0","0","4","0","32","3","","","","","","","",""
"VOLUNTEER","4","0","0","0","1","0","5","0","","","","","","","",""
"TOTAL","2,087","303","16","6","534","13","2,959","379","TOTAL","3,059","408","19","6","424","19","3,935"
