"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","51","71","1","0","43","1","167","10","COUNTY TRANSFER - OUT","39","67","0","0","32","2","140"
"DESIGNATED STATE AGENCIES","1","3","0","0","3","0","7","0","CRIMINAL CONVICTION","2","1","0","0","1","0","4"
"ELDERLY / DISABLED","2","0","0","0","1","0","3","0","DEATH NOTICE","107","79","0","0","11","0","197"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","560","768","6","13","361","23","1,731"
"IN PERSON","0","6","0","0","0","0","6","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","79","140","1","5","131","1","357","27","MOVED OUT OF STATE","51","107","1","1","36","5","201"
"NVRA BY MAIL","2","4","0","0","4","0","10","1","OTHER","2","2","0","0","2","0","6"
"OTHER MEANS","6","4","0","0","0","1","11","0","VOTER REQUEST","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","1","0","2"
"SOCIAL SERVICES","1","0","0","0","3","0","4","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","1","0","2","0","","","","","","","",""
"TOTAL","142","230","2","5","186","3","568","39","TOTAL","762","1,024","7","14","445","30","2,282"
