"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","32","39","0","1","11","1","84","3","COUNTY TRANSFER - OUT","28","31","0","0","21","0","80"
"DESIGNATED STATE AGENCIES","1","4","0","0","3","0","8","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","62","39","0","0","9","0","110"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","3","4","0","0","4","0","11"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","89","42","1","2","54","0","188"
"IN PERSON","0","3","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","159","142","0","7","119","0","427","23","MOVED OUT OF STATE","3","3","0","0","3","0","9"
"NVRA BY MAIL","2","1","0","0","1","0","4","1","OTHER","16","16","0","0","8","0","40"
"OTHER MEANS","0","4","0","0","1","0","5","0","VOTER REQUEST","0","0","0","0","2","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","3","1","0","0","1","0","5","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","197","194","0","8","136","1","536","27","TOTAL","202","135","1","2","101","0","441"
