"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","4","5","0","0","0","0","9","0","COUNTY TRANSFER - OUT","16","10","0","0","9","0","35"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","12","5","0","0","3","0","20"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","107","33","0","0","7","0","147"
"IN PERSON","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","35","16","0","0","14","0","65","0","MOVED OUT OF STATE","1","1","0","0","0","0","2"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","4","3","0","0","0","0","7"
"OTHER MEANS","1","1","0","0","0","0","2","0","VOTER REQUEST","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","124","14","0","1","13","0","152"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","1","0","3","0","","","","","","","",""
"TOTAL","43","22","0","0","15","0","80","0","TOTAL","266","67","0","1","34","0","368"
