"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","1","0","1","0","5","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","152","66","1","2","78","8","307","322","COUNTY TRANSFER - OUT","402","186","1","10","197","8","804"
"DESIGNATED STATE AGENCIES","13","0","1","0","4","0","18","0","CRIMINAL CONVICTION","2","1","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","1","DEATH NOTICE","65","41","0","0","16","4","126"
"FROM ANOTHER BOARD","0","0","0","0","2","1","3","2","DUPLICATE","3","4","0","0","1","0","8"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","3","MAIL VERIFICATION (NVRA)","676","317","5","7","328","18","1,351"
"IN PERSON","8","4","0","0","1","0","13","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","392","157","3","8","215","3","778","374","MOVED OUT OF STATE","63","58","0","1","31","1","154"
"NVRA BY MAIL","1","1","0","0","1","0","3","0","OTHER","13","6","0","0","12","1","32"
"OTHER MEANS","37","10","0","0","4","2","53","56","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","10","1","0","0","4","0","15"
"SOCIAL SERVICES","4","0","0","0","0","0","4","2","","","","","","","",""
"VOLUNTEER","0","0","0","0","1","0","1","0","","","","","","","",""
"TOTAL","611","238","6","10","307","14","1,186","763","TOTAL","1,235","614","6","18","589","32","2,494"
