"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","71","70","0","1","38","1","181","0","COUNTY TRANSFER - OUT","110","74","3","0","35","0","222"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","12","2","0","0","2","0","16"
"ELDERLY / DISABLED","1","0","0","0","1","0","2","0","DEATH NOTICE","99","65","0","0","17","0","181"
"FROM ANOTHER BOARD","7","1","0","0","3","2","13","0","DUPLICATE","4","10","0","0","2","0","16"
"PROVISIONAL BALLOT","1","3","0","0","1","0","5","0","MAIL VERIFICATION (NVRA)","244","200","1","2","116","4","567"
"IN PERSON","1","1","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","279","244","3","3","217","4","750","12","MOVED OUT OF STATE","27","25","0","1","9","0","62"
"NVRA BY MAIL","25","24","0","0","11","0","60","0","OTHER","6","7","0","0","5","0","18"
"OTHER MEANS","10","5","0","0","4","0","19","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","1","0","1","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","396","348","3","4","277","7","1,035","12","TOTAL","502","383","4","3","186","4","1,082"
