"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","2","0","1","4","0","15","22","BOARD ACTION","1","0","0","0","2","0","3"
"BY MAIL","1483","786","10","16","665","40","3,000","917","CONFIRMATION MAIL","16","5","0","0","2","0","23"
"DESIGNATED STATE AGENCIES","13","5","1","0","7","0","26","0","COUNTY TRANSFER - OUT","4,149","1,906","34","49","1,772","55","7,965"
"ELDERLY / DISABLED","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","88","23","0","0","31","0","142"
"FROM ANOTHER BOARD","26","11","0","0","8","1","46","38","DEATH NOTICE","1,354","521","2","3","192","21","2,093"
"PROVISIONAL BALLOT","5","1","0","0","2","0","8","11","DUPLICATE","26","3","0","0","2","3","34"
"IN PERSON","47","30","0","0","27","1","105","20","MAIL VERIFICATION (NVRA)","1,895","1,576","13","29","1,021","105","4,639"
"MOTOR VEHICLE ADMINISTRATION","6735","3068","62","126","4120","47","14,158","1,220","MENTAL INCOMPETENCY","1","1","0","0","0","0","2"
"NVRA BY MAIL","66","38","0","1","44","2","151","9","MOVED OUT OF STATE","821","837","9","7","375","17","2,066"
"ONLINE REGISTRATION","360","171","6","21","193","1","752","13","OTHER","54","24","0","2","38","0","118"
"OTHER MEANS","215","28","2","1","59","1","306","3,791","VOTER REQUEST","10","8","0","0","6","0","24"
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","","0"
"SOCIAL SERVICES","41","6","0","0","25","0","72","20","","","","","","","",""
"VOLUNTEER","10","12","0","1","3","0","26","0","","","","","","","",""
"TOTAL","9,009","4,158","81","167","5,158","93","18,666","6,061","TOTAL","8,415","4,904","58","90","3,441","201","17,109"
