"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","2","0","0","0","0","0","0","4","3","BOARD ACTION","0","0","0","0","0","0","1","0","1"
"BY MAIL","135","42","0","0","0","0","52","6","235","302","CONFIRMATION MAIL","4","1","0","0","0","0","2","0","7"
"DESIGNATED STATE AGENCIES","185","33","0","0","5","1","120","27","371","22","COUNTY TRANSFER - OUT","3,918","1,372","13","44","6","3","1,474","72","6,902"
"ELDERLY / DISABLED / SOC SEC","166","30","0","1","2","0","113","76","388","1","CRIMINAL CONVICTION","49","10","1","1","0","0","23","1","85"
"ERIC REPORT","461","175","3","5","0","0","169","4","817","1","DEATH NOTICE","1,923","838","3","8","1","2","326","37","3,138"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","104","37","0","0","0","0","25","4","170"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","2","0","MAIL VERIFICATION (NVRA)","8,912","4,263","31","129","13","8","4,028","178","17,562"
"IN PERSON","4","3","0","0","0","0","1","1","9","6","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8957","2885","33","147","29","8","5105","149","17,313","1,049","MOVED OUT OF STATE","173","179","1","2","0","0","61","5","421"
"NVRA BY MAIL","3","4","0","0","0","0","1","0","8","1","OTHER","18","5","2","0","0","0","13","2","40"
"ONLINE REGISTRATION","171","47","2","1","1","0","74","0","296","2","VOTER REQUEST","16","7","0","0","0","0","22","0","45"
"OTHER MEANS","20","9","0","0","0","0","9","0","38","25","","","","","","","","","",""
"RECRUITING","0","1","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY PROVISIONAL","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","8","2","0","0","0","0","0","1","11","0","","","","","","","","","",""
"TOTAL","10,113","3,233","38","154","37","9","5,645","264","19,492","1,412","TOTAL","15,117","6,712","51","184","20","13","5,975","299","28,371"
