"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","203","65","0","2","40","9","319","443","BOARD ACTION","6","0","0","0","4","0","10"
"BY MAIL","1366","456","8","15","450","74","2,369","458","CONFIRMATION MAIL","9","2","0","0","1","1","13"
"DESIGNATED STATE AGENCIES","38","13","2","0","13","0","66","11","COUNTY TRANSFER - OUT","6,687","2,380","38","98","2,361","75","11,639"
"SocSec/ELDERLY / DISABLED","1856","393","15","22","735","59","3,080","9","CRIMINAL CONVICTION","140","40","0","1","45","2","228"
"FROM ANOTHER BOARD","27","16","0","1","8","4","56","31","DEATH NOTICE","2,993","1,312","2","6","422","44","4,779"
"PROVISIONAL BALLOT","2","1","0","0","0","0","3","2","DUPLICATE","90","20","0","1","16","2","129"
"IN PERSON","263","112","1","2","84","5","467","792","MAIL VERIFICATION (NVRA)","9","2","0","0","3","0","14"
"MOTOR VEHICLE ADMINISTRATION","9870","3930","77","232","5139","91","19,339","1,383","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"NVRA BY MAIL","277","96","1","1","97","6","478","62","MOVED OUT OF STATE","974","720","3","12","436","25","2,170"
"ONLINE REGISTRATION","7068","3145","57","176","3187","98","13,731","420","OTHER","217","36","4","6","104","6","373"
"OTHER MEANS","387","96","3","3","162","6","657","525","VOTER REQUEST","20","5","0","0","6","0","31"
"RECRUITING","0","2","0","0","1","1","4","3","","","","","","","",""
"SOCIAL SERVICES","52","12","0","0","35","2","101","53","","","","","","","",""
"VOLUNTEER","696","104","3","6","217","8","1,034","0","","","","","","","",""
"TOTAL","22,105","8,441","167","460","10,168","363","41,704","4,192","TOTAL","11,145","4,517","47","124","3,398","155","19,386"
