"","","","","","","","","","","","","","","",""
"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","14","5","0","1","1","21","8","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","289","90","0","137","7","523","223","CONFIRMATION MAIL","4","2","0","4","0","10"
"DESIGNATED STATE AGENCIES","","434","103","0","312","32","881","60","COUNTY TRANSFER - OUT","3,395","1,241","0","1,227","104","5,967"
"ELDERLY / DISABLED / SOC SEC","","479","87","1","212","60","839","3","CRIMINAL CONVICTION","317","72","0","96","8","493"
"ERIC REPORT","","5","1","0","1","0","7","1","DEATH NOTICE","1,697","766","1","310","42","2,816"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","67","30","0","28","1","126"
"PROVISIONAL BALLOT","","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","7,801","3,610","4","3,480","278","15,173"
"IN PERSON","","29","5","0","4","0","38","6","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","6805","2629","20","3953","123","13,530","1,264","MOVED OUT OF STATE","466","335","0","218","12","1,031"
"NVRA BY MAIL","","44","17","0","30","1","92","20","OTHER","41","11","0","24","18","94"
"ONLINE REGISTRATION","","445","173","3","203","7","831","12","VOTER REQUEST","10","9","0","4","4","27"
"OTHER MEANS","","35","18","0","16","0","69","40","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","5","1","0","0","0","6","3","","","","","","",""
"VOLUNTEER","","121","17","0","34","1","173","5","","","","","","",""
"TOTAL","","8,705","3,146","24","4,903","232","17,010","1,645","TOTAL","13,798","6,076","5","5,391","467","25,737"
