"","SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","",""
"","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","98","30","0","0","10","0","138","95","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","502","199","0","2","96","9","808","1,802","CONFIRMATION MAIL","33","13","0","0","4","1","51"
"","DESIGNATED STATE AGENCIES","254","76","0","0","190","13","533","59","COUNTY TRANSFER - OUT","3,921","1,133","0","51","1,435","93","6,633"
"","ELDERLY / DISABLED / SOC SEC","177","79","1","7","105","9","378","4","CRIMINAL CONVICTION","15","3","0","0","7","1","26"
"","ERIC REPORT","1","0","0","0","0","1","2","23","DEATH NOTICE","2,461","1,198","0","6","493","65","4,223"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","126","62","0","1","38","5","232"
"","PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","4,952","2,377","0","16","900","58","8,303"
"","IN PERSON","25","11","0","0","10","0","46","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","6824","2833","0","114","6127","285","16,183","603","MOVED OUT OF STATE","320","140","0","3","71","6","540"
"","NVRA BY MAIL","14","6","0","0","8","1","29","3","OTHER","61","12","0","2","34","9","118"
"","ONLINE REGISTRATION","782","367","17","14","449","13","1,642","9","VOTER REQUEST","74","39","0","1","25","2","141"
"","OTHER MEANS","315","55","0","2","127","11","510","69","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"","SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","1","0","0","0","1","0","2","0","","","","","","","",""
"","VOLUNTEER","66","21","0","1","44","3","135","0","","","","","","","",""
"","TOTAL","9,059","3,677","18","140","7,167","345","20,406","2,669","TOTAL","11,963","4,977","0","80","3,007","240","20,267"
