"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","3","0","0","0","1","0","7","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","30","23","1","0","0","15","2","71","19","COUNTY TRANSFER - OUT","33","29","1","0","0","16","2","81"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","11","9","0","0","0","2","1","23"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","2","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","12","7","0","0","1","0","0","20","10","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","5","7","0","0","0","1","1","14","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","74","56","0","0","1","56","7","194","41","MOVED OUT OF STATE","7","8","0","0","0","3","0","18"
"NVRA BY MAIL","1","1","0","0","0","1","1","4","2","OTHER","3","0","0","0","0","0","0","3"
"OTHER MEANS","1","2","0","0","0","0","0","3","22","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","5","2","0","0","0","4","0","11","3","","","","","","","","",""
"VOLUNTEER","52","9","1","0","2","28","3","95","0","","","","","","","","",""
"TOTAL","183","111","2","0","4","106","14","420","104","TOTAL","56","46","1","0","0","21","3","127"
