"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","1","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","6","18","0","0","1","10","0","35","2","COUNTY TRANSFER - OUT","19","13","0","0","0","6","0","38"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","2","0","0","0","0","0","2"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","4","7","0","0","0","2","0","13","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","0","3","0","0","0","2","0","5","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","4","20","0","0","0","13","0","37","6","MOVED OUT OF STATE","0","2","0","0","0","1","0","3"
"NVRA BY MAIL","0","3","0","0","0","1","0","4","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","1","0","0","0","1","0","2","7","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","2","0","0","0","1","0","3","0","","","","","","","","",""
"VOLUNTEER","1","3","0","0","0","0","0","4","0","","","","","","","","",""
"TOTAL","16","58","0","0","1","31","0","106","23","TOTAL","19","17","0","0","0","7","0","43"
