"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","19","9","0","0","0","2","0","30","8","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","207","39","1","0","1","66","1","315","30","COUNTY TRANSFER - OUT","696","104","4","0","5","97","4","910"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","11","0","0","0","0","0","0","11","1","DEATH NOTICE","4","0","0","0","0","0","0","4"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","3","0","0","0","0","0","0","3"
"PROVISIONAL BALLOT","245","34","3","0","0","7","1","290","344","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","3","0","0","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","203","42","1","0","1","79","1","327","45","MOVED OUT OF STATE","1","2","0","0","0","0","0","3"
"NVRA BY MAIL","2","1","0","0","0","2","0","5","2","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","9","4","0","0","0","2","0","15","14","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","32","2","0","0","0","13","0","47","18","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","732","131","5","0","2","171","3","1,044","462","TOTAL","707","106","4","0","5","98","4","924"
