"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","3","7","0","1","0","3","0","14","1","COUNTY TRANSFER - OUT","5","8","1","0","0","1","0","15"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","2","0","2","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","2","0","0","0","0","0","3"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","5","7","0","0","0","1","0","13","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","0","3","0","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","31","1","0","1","18","0","68","8","MOVED OUT OF STATE","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","1","5","0","0","0","1","0","7","1","OTHER","0","3","0","0","0","0","0","3"
"OTHER MEANS","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","28","53","1","1","1","25","0","109","10","TOTAL","7","13","1","0","0","1","0","22"
