"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","1","0","0","0","1","0","9","22","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","44","7","0","0","1","8","0","60","1","COUNTY TRANSFER - OUT","430","72","1","0","0","48","25","576"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","5","DEATH NOTICE","15","4","0","0","0","0","0","19"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","16","DUPLICATE","5","2","0","0","0","0","0","7"
"PROVISIONAL BALLOT","269","24","0","0","0","19","1","313","92","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","1","0","0","0","0","0","0","1","17","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","26","1","0","0","0","2","0","29","31","MOVED OUT OF STATE","2","0","0","0","0","0","0","2"
"NVRA BY MAIL","2","0","0","0","0","0","0","2","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","19","2","0","0","0","0","0","21","343","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","10","1","0","0","0","3","0","14","4","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","4","","","","","","","","",""
"TOTAL","378","37","0","0","1","33","1","450","535","TOTAL","453","78","1","0","0","48","25","605"
