"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","0","0","0","3","2","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","12","10","0","0","0","4","0","26","8","COUNTY TRANSFER - OUT","22","17","0","0","0","5","1","45"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","3","1","0","0","0","0","0","4"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","7","7","0","0","0","0","0","14","7","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","6","1","0","0","0","1","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","23","15","0","0","0","6","0","44","5","MOVED OUT OF STATE","0","2","0","0","0","0","0","2"
"NVRA BY MAIL","1","0","0","0","0","2","0","3","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","2","3","0","0","0","0","0","5","4","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","1","","","","","","","","",""
"TOTAL","53","37","0","0","0","13","0","103","27","TOTAL","26","20","0","0","0","5","1","52"
