"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","2","0","4","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","57","78","1","0","1","37","2","176","4","COUNTY TRANSFER - OUT","69","47","0","0","2","30","0","148"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","2","2","0","0","0","0","0","4"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","31","27","0","0","0","3","0","61"
"FROM ANOTHER BOARD","2","2","0","0","0","2","0","6","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","32","39","1","0","0","4","1","77","6","MAIL VERIFICATION (NVRA)","1","2","0","0","0","0","0","3"
"IN PERSON","5","11","1","0","0","2","0","19","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","145","171","2","0","4","157","0","479","27","MOVED OUT OF STATE","14","22","0","0","0","3","0","39"
"NVRA BY MAIL","20","20","1","0","1","7","1","50","0","OTHER","0","0","0","0","0","3","0","3"
"OTHER MEANS","1","0","0","0","0","1","0","2","1","VOTER REQUEST","2","3","0","0","0","0","0","5"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","1","0","3","0","","","","","","","","",""
"TOTAL","266","323","6","0","6","213","4","818","39","TOTAL","119","103","0","0","2","39","0","263"
