"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","43","10","0","0","0","7","0","60","0","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","496","261","4","0","8","182","15","966","11","COUNTY TRANSFER-OUT","517","196","2","0","3","104","5","827"
"DESIGNATED STATE AGENCIES","5","0","0","0","0","0","0","5","0","CRIMINAL CONVICTION","3","1","0","0","0","3","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","307","103","0","0","0","30","6","446"
"FROM ANOTHER BOARD","2","2","0","0","0","1","0","5","0","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","155","67","0","1","0","9","1","233","7","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","1"
"IN PERSON","24","12","0","0","0","5","0","41","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","686","237","4","3","14","333","8","1,285","33","MOVED OUT OF STATE","47","32","0","0","0","22","0","101"
"NVRA BY MAIL","68","55","0","1","0","35","5","164","5","OTHER","8","5","1","0","0","9","2","25"
"OTHER MEANS","18","6","0","0","0","1","0","25","169","VOTER REQUEST","3","1","0","0","0","0","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","7","0","0","0","0","4","0","11","1","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","1","0","3","0","","","","","","","","",""
"TOTAL","1,506","650","8","5","22","578","29","2,798","229","TOTAL","889","338","3","0","3","168","13","1,414"
