"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","11","7","1","0","1","9","1","30","0","COUNTY TRANSFER - OUT","17","21","0","0","0","7","1","46"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","35","35","0","0","0","0","0","70"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","3","7","0","0","0","0","0","10","3","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","6","10","0","0","0","6","1","23","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","19","13","0","0","0","17","3","52","0","MOVED OUT OF STATE","9","7","0","0","0","1","0","17"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","42","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","1","0","0","0","1","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","39","40","1","0","1","34","5","120","48","TOTAL","62","63","0","0","0","8","1","134"
