"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","15","3","0","0","0","2","1","21","6","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","318","100","2","0","4","175","2","601","125","COUNTY TRANSFER - OUT","266","108","1","0","2","69","1","447"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","98","36","0","0","0","23","0","157"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","2","0","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","123","33","0","0","0","12","0","168","314","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","51","9","0","0","0","16","0","76","13","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","403","117","1","3","8","298","2","832","85","MOVED OUT OF STATE","245","118","3","0","2","149","1","518"
"NVRA BY MAIL","2","0","0","0","0","0","0","2","0","OTHER","3","0","0","0","0","1","0","4"
"OTHER MEANS","4","4","0","0","0","1","0","9","11","VOTER REQUEST","7","2","0","0","0","1","0","10"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","3","0","0","0","0","0","0","3","0","","","","","","","","",""
"VOLUNTEER","8","0","0","0","0","0","0","8","0","","","","","","","","",""
"TOTAL","929","266","3","3","12","504","5","1,722","554","TOTAL","621","264","4","0","4","243","2","1,138"
