"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","31","32","0","0","1","19","1","84","8","COUNTY TRANSFER - OUT","87","91","0","0","1","45","4","228"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","1","0","2","1","CRIMINAL CONVICTION","5","5","0","0","0","1","0","11"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","56","57","0","0","1","15","1","130"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","0","DUPLICATE","2","4","0","0","0","4","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","3","0","0","0","0","1","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","63","92","0","0","2","76","1","234","50","MOVED OUT OF STATE","10","15","1","0","0","2","0","28"
"NVRA BY MAIL","2","4","0","0","0","2","0","8","2","OTHER","2","0","0","0","0","0","0","2"
"OTHER MEANS","9","4","0","0","0","1","0","14","2","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","175","223","2","0","2","96","2","500"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","109","133","0","0","3","100","2","347","64","TOTAL","337","395","3","0","4","163","7","909"
