"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","24","37","0","0","0","16","0","77","20","COUNTY TRANSFER - OUT","24","21","0","0","1","21","0","67"
"DESIGNATED STATE AGENCIES","1","2","0","0","1","3","0","7","1","CRIMINAL CONVICTION","5","5","0","0","0","0","0","10"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","45","57","1","0","0","12","0","115"
"FROM ANOTHER BOARD","1","0","0","0","0","1","0","2","1","DUPLICATE","5","5","0","0","0","2","0","12"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1,423","1,300","12","2","25","904","4","3,670"
"IN PERSON","1","2","0","0","0","3","0","6","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","78","102","3","0","2","100","1","286","36","MOVED OUT OF STATE","13","18","0","0","0","9","0","40"
"NVRA BY MAIL","3","9","0","0","0","9","0","21","1","OTHER","0","1","0","0","0","1","0","2"
"OTHER MEANS","2","0","0","0","0","3","0","5","47","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","1","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","111","153","3","0","3","136","1","407","106","TOTAL","1,515","1,407","13","2","26","949","4","3,916"
