"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","132","70","1","0","2","40","5","250","755","COUNTY TRANSFER - OUT","183","81","1","0","4","85","4","358"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","5","3","0","0","0","0","0","8"
"FROM ANOTHER BOARD","5","1","0","0","0","2","0","8","0","DUPLICATE","2","0","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","526","207","1","0","6","234","11","985"
"IN PERSON","1","0","0","0","0","0","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","211","92","3","0","2","136","6","450","25","MOVED OUT OF STATE","172","160","2","0","1","73","3","411"
"NVRA BY MAIL","1","0","0","0","0","0","0","1","0","OTHER","3","0","0","0","0","1","0","4"
"OTHER MEANS","13","2","0","0","0","0","0","15","62","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","27","9","0","1","0","9","1","47"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","364","165","4","0","4","178","11","726","844","TOTAL","918","460","4","1","11","403","19","1,816"
