"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","19","14","0","0","0","11","1","45","11","COUNTY TRANSFER - OUT","23","9","1","0","0","7","1","41"
"DESIGNATED STATE AGENCIES","1","0","0","0","1","0","0","2","0","CRIMINAL CONVICTION","2","1","0","0","0","1","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","45","16","0","0","0","3","1","65"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","0","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","6","1","0","0","0","1","0","8"
"IN PERSON","1","0","0","0","0","0","0","1","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","53","29","0","0","1","36","0","119","34","MOVED OUT OF STATE","2","3","0","0","0","1","0","6"
"NVRA BY MAIL","2","0","0","0","0","1","0","3","0","OTHER","0","0","0","0","1","1","0","2"
"OTHER MEANS","0","0","0","0","0","0","0","0","1","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","3","0","0","0","0","0","0","3","0","","","","","","","","",""
"VOLUNTEER","9","3","0","0","0","7","0","19","0","","","","","","","","",""
"TOTAL","88","46","0","0","2","55","1","192","49","TOTAL","79","31","1","0","1","14","2","128"
