"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","2","0","0","0","0","0","0","2"
"BY MAIL","517","87","3","0","3","119","7","736","121","COUNTY TRANSFER - OUT","513","66","0","0","0","93","1","673"
"DESIGNATED STATE AGENCIES","7","3","0","1","0","0","1","12","0","CRIMINAL CONVICTION","115","10","0","0","0","16","0","141"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","315","33","0","0","0","17","1","366"
"FROM ANOTHER BOARD","31","8","0","0","0","6","0","45","2","DUPLICATE","55","1","0","0","0","4","0","60"
"PROVISIONAL BALLOT","4","0","0","0","0","0","0","4","146","MAIL VERIFICATION (NVRA)","106","18","1","0","1","14","0","140"
"IN PERSON","1","0","0","0","0","0","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","508","117","4","2","6","179","3","819","197","MOVED OUT OF STATE","133","47","3","0","4","49","2","238"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","1","0","0","0","0","1","0","2"
"OTHER MEANS","11","1","0","0","0","1","0","13","30","VOTER REQUEST","0","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","26","2","0","0","0","4","0","32"
"SOCIAL SERVICES","13","0","0","0","0","2","0","15","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,092","216","7","3","9","307","11","1,645","498","TOTAL","1,266","178","4","0","5","198","4","1,655"
