"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","89","47","1","0","3","45","5","190","0","COUNTY TRANSFER - OUT","50","40","0","0","1","35","0","126"
"DESIGNATED STATE AGENCIES","7","1","0","0","0","3","0","11","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","156","86","0","0","0","26","0","268"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","4","8","0","0","0","2","1","15"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","98","85","0","0","3","56","1","243"
"IN PERSON","0","2","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","134","118","2","0","2","96","2","354","22","MOVED OUT OF STATE","51","80","0","1","0","39","1","172"
"NVRA BY MAIL","8","5","0","0","0","3","0","16","0","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","1","1","0","0","0","3","0","5","1","VOTER REQUEST","1","0","0","0","0","2","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","619","340","6","0","5","266","3","1,239"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","239","174","3","0","5","150","7","578","23","TOTAL","980","639","6","1","9","426","6","2,067"
