"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","2","0","4","34","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","206","78","1","3","0","0","83","10","381","201","CONFIRMATION MAIL","11","3","0","0","0","0","2","0","16"
"DESIGNATED STATE AGENCIES","221","66","0","0","11","0","129","28","455","34","COUNTY TRANSFER - OUT","8,963","2,971","22","91","7","7","3,352","157","15,570"
"ELDERLY / DISABLED / SOC SEC","182","37","2","2","1","0","121","47","392","2","CRIMINAL CONVICTION","112","20","1","0","0","0","39","4","176"
"ERIC REPORT","4376","1473","10","43","4","3","1621","70","7,600","4","DEATH NOTICE","1,670","795","1","4","0","0","310","31","2,811"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","136","30","0","2","0","0","45","4","217"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","11,518","5,968","57","161","17","10","5,667","264","23,662"
"IN PERSON","6","2","0","0","0","0","0","0","8","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","10506","3202","44","152","22","6","6081","173","20,186","971","MOVED OUT OF STATE","341","366","1","2","0","0","183","7","900"
"NVRA BY MAIL","7","2","0","0","0","0","1","0","10","2","OTHER","22","3","0","0","0","0","12","2","39"
"ONLINE REGISTRATION","283","72","4","5","1","2","113","4","484","3","VOTER REQUEST","17","13","0","0","0","0","13","3","46"
"OTHER MEANS","20","16","0","0","0","0","12","1","49","30","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY PROVISIONAL","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","2","0","","","","","","","","","",""
"TOTAL","15,810","4,948","61","205","39","11","8,164","333","29,571","1,284","TOTAL","22,790","10,169","82","260","24","17","9,623","472","43,437"
