"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","","WCP UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","117","35","0","2","1","19","3","177","1,049","BOARD ACTION","7","0","0","0","0","1","0","8"
"BY MAIL","2118","860","8","25","5","933","55","4,004","400","CONFIRMATION MAIL","1","2","0","0","0","0","0","3"
"DESIGNATED STATE AGENCIES","162","46","1","0","6","126","23","364","34","COUNTY TRANSFER - OUT","7,186","2,533","34","78","19","2,902","151","12,903"
"ELDERLY / DISABLED / SOC SEC","474","115","4","5","4","172","23","797","4","CRIMINAL CONVICTION","126","24","0","1","2","42","4","199"
"ERIC REPORT","1289","368","7","19","4","467","23","2,177","3","DEATH NOTICE","1,732","836","3","5","1","394","33","3,004"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","139","38","2","1","0","50","9","239"
"PROVISIONAL BALLOT","8","0","0","0","1","3","0","12","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","91","35","0","0","1","19","2","148","17","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8709","3052","55","145","62","6037","252","18,312","218","MOVED OUT OF STATE","341","203","1","3","0","132","10","690"
"NVRA BY MAIL","16","9","0","0","0","12","0","37","7","OTHER","36","11","0","1","0","22","1","71"
"ONLINE REGISTRATION","1775","652","12","22","10","678","10","3,159","1,013","VOTER REQUEST","29","22","0","0","0","28","3","82"
"OTHER MEANS","156","66","0","0","2","90","9","323","283","","","","","","","","",""
"RECRUITING","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","92","50","0","2","3","54","6","207","0","","","","","","","","",""
"TOTAL","15,008","5,288","87","220","99","8,610","406","29,718","3,028","TOTAL","9,597","3,669","40","89","22","3,571","211","17,199"
