"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","0","2","21","BOARD ACTION","4","1","0","0","0","1","0","6"
"BY MAIL","611","228","0","4","7","275","16","1,141","933","CONFIRMATION MAIL","21","8","0","0","0","3","1","33"
"DESIGNATED STATE AGENCIES","88","46","0","0","1","36","1","172","3","COUNTY TRANSFER - OUT","2,938","1,090","1","19","27","951","44","5,070"
"ELDERLY / DISABLED","72","19","0","1","0","46","4","142","3","CRIMINAL CONVICTION","104","13","0","2","1","17","0","137"
"FROM ANOTHER BOARD","563","103","0","1","0","118","5","790","59","DEATH NOTICE","1,558","602","0","4","2","195","18","2,379"
"PROVISIONAL BALLOT","7","1","0","1","0","0","0","9","1","DUPLICATE","158","43","0","3","2","40","4","250"
"IN PERSON","30","16","0","0","1","12","0","59","8","MAIL VERIFICATION (NVRA)","4,921","1,960","1","37","54","1,797","218","8,988"
"MOTOR VEHICLE ADMINISTRATION","6649","2489","0","48","149","3518","45","12,898","2,057","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","1"
"NVRA BY MAIL","31","27","0","0","1","18","1","78","8","MOVED OUT OF STATE","579","493","0","1","7","301","17","1,398"
"ONLINE REGISTRATION","204","105","0","1","7","112","3","432","22","OTHER","126","36","0","2","3","79","3","249"
"OTHER MEANS","208","105","0","1","8","138","3","463","454","VOTER REQUEST","5","8","0","0","1","5","0","19"
"RECRUITING","0","1","0","0","0","0","0","1","0","","","","","","","","","0"
"SOCIAL SERVICES","39","7","0","0","0","30","0","76","31","","","","","","","","",""
"VOLUNTEER","24","6","0","0","0","5","0","35","0","","","","","","","","",""
"TOTAL","8,527","3,154","0","57","174","4,308","78","16,298","3,600","TOTAL","10,415","4,254","2","68","97","3,389","305","18,530"
