"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","99","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","78","56","1","0","2","51","1","189","70","COUNTY TRANSFER - OUT","129","72","5","0","4","54","7","271"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","1","0","0","0","0","1","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","7","DEATH NOTICE","88","37","0","0","0","13","1","139"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","9","DUPLICATE","1","1","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","4","MAIL VERIFICATION (NVRA)","1","1","0","0","0","2","0","4"
"IN PERSON","2","0","0","0","0","1","0","3","7","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","260","147","1","0","5","209","5","627","114","MOVED OUT OF STATE","19","15","0","0","0","15","2","51"
"NVRA BY MAIL","3","1","0","0","1","3","1","9","1","OTHER","5","2","0","0","1","6","0","14"
"OTHER MEANS","17","19","0","0","1","7","0","44","186","VOTER REQUEST","2","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","1","0","1"
"SOCIAL SERVICES","5","0","0","0","0","0","0","5","1","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","367","224","2","0","9","271","7","880","498","TOTAL","246","129","5","0","5","91","11","487"
