"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","2","0","4","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","85","66","2","0","0","38","0","191","21","COUNTY TRANSFER - OUT","119","96","0","0","2","78","1","296"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","1","1","0","0","0","1","0","3","0","DEATH NOTICE","0","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","2","1","0","0","0","1","0","4","4","DUPLICATE","4","2","0","0","0","3","0","9"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","839","576","9","0","6","467","3","1,900"
"IN PERSON","2","0","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","323","237","3","0","9","305","0","877","123","MOVED OUT OF STATE","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","28","31","0","0","1","31","0","91","7","OTHER","1","3","0","0","0","2","0","6"
"OTHER MEANS","42","39","1","1","1","18","3","105","12","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","1","0","1"
"SOCIAL SERVICES","4","0","0","0","0","1","0","5","0","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","490","376","6","1","11","397","3","1,284","167","TOTAL","965","679","9","0","8","551","4","2,216"
