"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","6","0","0","0","0","2","0","8","2","BOARD ACTION","0","1","0","0","0","1","0","2"
"BY MAIL","255","48","2","0","0","46","0","351","110","COUNTY TRANSFER - OUT","424","84","2","0","0","90","5","605"
"DESIGNATED STATE AGENCIES","15","1","0","0","1","3","0","20","0","CRIMINAL CONVICTION","41","6","2","0","0","9","0","58"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","497","44","0","1","0","20","3","565"
"FROM ANOTHER BOARD","12","1","0","0","0","3","0","16","21","DUPLICATE","13","2","1","0","0","3","0","19"
"PROVISIONAL BALLOT","0","0","0","0","0","2","0","2","4","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","1"
"IN PERSON","1","1","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","797","148","12","0","10","311","5","1,283","201","MOVED OUT OF STATE","140","36","2","0","2","50","0","230"
"NVRA BY MAIL","2","4","0","0","0","3","0","9","0","OTHER","3","0","0","0","0","0","0","3"
"OTHER MEANS","37","18","2","0","1","14","1","73","18","VOTER REQUEST","0","0","0","0","0","0","1","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","9","0","0","0","0","1","0","10","3","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,134","221","16","0","12","385","6","1,774","360","TOTAL","1,120","173","7","1","2","173","9","1,485"
