"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","51","45","1","0","0","26","1","124","1","COUNTY TRANSFER - OUT","52","64","0","0","1","32","0","149"
"DESIGNATED STATE AGENCIES","5","0","0","0","0","5","0","10","0","CRIMINAL CONVICTION","7","0","0","0","0","2","0","9"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","83","57","0","0","0","11","1","152"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","79","68","1","0","0","41","2","191"
"IN PERSON","2","0","0","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","139","141","3","0","6","143","2","434","35","MOVED OUT OF STATE","43","43","0","0","0","14","0","100"
"NVRA BY MAIL","6","5","0","0","0","6","0","17","0","OTHER","2","2","0","0","0","1","0","5"
"OTHER MEANS","24","30","0","0","0","20","1","75","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","23","18","0","0","1","14","0","56"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","1","0","4","0","","","","","","","","",""
"TOTAL","229","224","4","0","6","201","4","668","37","TOTAL","290","252","1","0","2","115","3","663"
