"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","125","42","1","0","0","59","1","228","86","COUNTY TRANSFER - OUT","177","83","3","0","0","66","0","329"
"DESIGNATED STATE AGENCIES","3","3","0","0","0","1","0","7","1","CRIMINAL CONVICTION","5","1","0","0","0","0","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","6","0","0","0","0","0","0","6"
"FROM ANOTHER BOARD","1","0","0","0","0","2","0","3","5","DUPLICATE","11","0","0","0","0","7","0","18"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1,742","620","9","0","8","748","4","3,131"
"IN PERSON","3","0","0","0","1","1","0","5","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","821","249","5","1","15","651","8","1,750","209","MOVED OUT OF STATE","112","47","0","0","0","56","1","216"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","10","1","0","0","0","5","0","16"
"OTHER MEANS","76","20","0","0","0","34","2","132","21","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","1","0","0","0","1","0","4","0","","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","0","0","3","0","","","","","","","","",""
"TOTAL","1,032","317","6","1","16","749","11","2,132","327","TOTAL","2,063","752","12","0","8","883","5","3,723"
