"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","19","10","0","0","0","11","1","41","1","COUNTY TRANSFER - OUT","36","16","0","0","0","10","1","63"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","1","0","0","0","0","0","1","0","DEATH NOTICE","40","21","0","0","0","2","0","63"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","2","4","DUPLICATE","2","1","0","0","0","1","0","4"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","3","0","0","0","0","2","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","141","47","0","0","1","49","1","239","24","MOVED OUT OF STATE","6","7","0","0","0","3","0","16"
"NVRA BY MAIL","1","1","0","0","0","1","0","3","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","4","1","0","0","0","1","0","6","2","VOTER REQUEST","2","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","0","0","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","174","60","0","0","1","64","2","301","31","TOTAL","87","45","0","0","0","16","1","149"
