"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","28","23","3","0","1","21","0","76","3","COUNTY TRANSFER - OUT","39","41","1","0","0","19","0","100"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","2","0","4","0","CRIMINAL CONVICTION","2","1","0","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","95","56","0","0","0","16","0","167"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","2","3","0","0","0","0","0","5"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","11","16","1","0","0","22","0","50"
"IN PERSON","0","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","130","101","3","0","3","126","0","363","47","MOVED OUT OF STATE","20","23","0","0","0","20","0","63"
"NVRA BY MAIL","10","4","0","0","0","8","0","22","3","OTHER","0","2","0","0","0","1","0","3"
"OTHER MEANS","13","25","0","0","0","17","1","56","83","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","0","0","1"
"SOCIAL SERVICES","0","1","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","0","7","0","0","0","0","0","7","0","","","","","","","","",""
"TOTAL","182","164","6","0","4","174","1","531","138","TOTAL","169","143","2","0","0","78","0","392"
