"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","8","9","0","0","0","3","0","20","3","COUNTY TRANSFER - OUT","14","15","0","1","1","15","0","46"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","1","0","0","0","1","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","14","5","0","0","1","1","0","21"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","23","14","0","0","0","16","1","54"
"IN PERSON","1","1","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","57","81","1","0","2","73","0","214","32","MOVED OUT OF STATE","2","6","1","0","0","4","0","13"
"NVRA BY MAIL","0","2","0","0","0","0","0","2","2","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","2","0","0","0","1","0","4","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","1","0","2","0","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","70","95","1","0","2","78","0","246","37","TOTAL","55","41","1","1","2","37","1","138"
