"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","","WCP UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL"
"MAIL-IN BALLOT (FPCA)","204","50","2","2","1","58","3","320","754","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","919","266","2","2","4","316","25","1,534","368","CONFIRMATION MAIL","6","6","0","2","0","9","1","24"
"DESIGNATED STATE AGENCIES","122","38","0","0","1","82","18","261","201","COUNTY TRANSFER - OUT","4,731","1,184","20","61","17","1,669","86","7,768"
"ELDERLY / DISABLED / SOC SEC","919","168","7","1","3","351","30","1,479","8","CRIMINAL CONVICTION","70","11","0","0","0","30","3","114"
"ERIC REPORT","400","51","2","5","0","158","8","624","2","DEATH NOTICE","1,847","891","2","3","1","393","36","3,173"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","245","90","1","5","1","89","8","439"
"PROVISIONAL BALLOT","121","33","0","2","0","31","4","191","161","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","1"
"IN PERSON","97","33","0","0","0","53","0","183","191","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5883","1899","29","99","45","3837","205","11,997","443","MOVED OUT OF STATE","582","244","3","4","2","222","9","1,066"
"NVRA BY MAIL","32","16","0","1","0","20","0","69","8","OTHER","163","30","0","1","0","44","10","248"
"ONLINE REGISTRATION","2349","641","14","38","15","1227","21","4,305","649","VOTER REQUEST","46","24","0","0","0","26","3","99"
"OTHER MEANS","184","58","3","0","3","136","7","391","58","","","","","","","","",""
"RECRUITING","1","1","0","0","0","0","0","2","0","","","","","","","","",""
"SAME DAY REGISTRATION","185","77","0","4","1","82","3","352","0","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","100","18","0","0","2","36","1","157","0","","","","","","","","",""
"TOTAL","11,516","3,349","59","154","75","6,387","325","21,865","2,843","TOTAL","7,691","2,480","26","76","21","2,482","156","12,932"
