"","","","","","","","","","","","","","",""
"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","3","0","3","0","8","12","BOARD ACTION","0","0","0","0","1","1"
"BY MAIL","345","138","0","163","13","659","277","CONFIRMATION MAIL","11","9","0","10","0","30"
"DESIGNATED STATE AGENCIES","251","35","1","127","37","451","42","COUNTY TRANSFER - OUT","4,553","1,583","0","1,709","153","7,998"
"ELDERLY / DISABLED / SOC SEC","307","71","0","143","41","562","3","CRIMINAL CONVICTION","83","10","0","31","5","129"
"ERIC REPORT","0","0","0","0","0","0","0","DEATH NOTICE","1,985","877","0","325","30","3,217"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","DUPLICATE","74","12","0","22","3","111"
"PROVISIONAL BALLOT","1","0","0","0","1","2","0","MAIL VERIFICATION (NVRA)","10,690","5,655","2","5,393","438","22,178"
"IN PERSON","35","12","0","8","0","55","42","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","11137","3938","20","6507","207","21,809","11,180","MOVED OUT OF STATE","667","690","0","339","39","1,735"
"NVRA BY MAIL","35","12","0","19","1","67","12","OTHER","13","6","0","5","0","24"
"ONLINE REGISTRATION","564","159","1","234","23","981","27","VOTER REQUEST","15","12","0","11","0","38"
"OTHER MEANS","29","17","0","7","1","54","472","","","","","","",""
"RECRUITING","0","2","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","1","1","0","4","0","6","0","","","","","","",""
"VOLUNTEER","52","7","0","32","0","91","0","","","","","","",""
"TOTAL","12,759","4,395","22","7,247","324","24,745","12,067","TOTAL","18,091","8,854","2","7,845","669","35,461"
