"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","5","6","0","0","2","0","1","0","14","2","COUNTY TRANSFER - OUT","13","14","1","0","1","1","8","0","38"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","22","16","1","0","0","0","6","0","45"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","0","1","2","DUPLICATE","1","1","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","46","37","0","1","9","1","22","0","116","31","MOVED OUT OF STATE","2","9","0","0","0","0","3","0","14"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","2","0","OTHER","0","0","0","0","0","0","1","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","0","0","0","0","0","0","1","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","52","45","0","1","11","1","25","0","135","35","TOTAL","42","40","2","0","1","1","19","1","106"
