"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","35","6","0","0","3","1","11","3","59","3","COUNTY TRANSFER - OUT","31","9","0","0","0","1","11","0","52"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","0","0","0","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","30","13","0","0","2","0","2","0","47"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","2","0","DUPLICATE","16","1","0","0","0","0","7","1","25"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","2","0","0","0","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","132","38","1","0","15","1","47","1","235","36","MOVED OUT OF STATE","13","24","0","0","0","0","7","0","44"
"NVRA BY MAIL","3","1","0","0","0","0","2","0","6","1","OTHER","1","0","0","0","0","0","0","0","1"
"OTHER MEANS","2","0","0","0","0","0","1","1","4","1","VOTER REQUEST","1","0","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","1","0","0","0","0","0","0","3"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","1","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","1","0","0","0","1","0","","","","","","","","","",""
"TOTAL","175","47","1","0","19","2","61","6","311","42","TOTAL","97","48","0","0","2","1","28","1","177"
