"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","0","1","4","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","27","33","0","0","4","1","19","0","84","10","COUNTY TRANSFER - OUT","25","46","0","0","3","2","15","0","91"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","1","0","3","0","CRIMINAL CONVICTION","2","2","0","0","0","0","2","1","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","26","34","0","0","1","0","6","0","67"
"FROM ANOTHER BOARD","3","7","0","0","0","0","1","0","11","3","DUPLICATE","12","11","0","0","0","0","8","0","31"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","0","0","0","0","0","0","0","5"
"IN PERSON","0","1","0","0","2","0","1","0","4","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","141","105","0","0","32","3","103","1","385","74","MOVED OUT OF STATE","8","5","0","0","0","0","6","0","19"
"NVRA BY MAIL","2","3","0","0","0","1","1","0","7","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","6","5","1","0","3","0","0","0","15","70","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"VOLUNTEER","1","1","0","0","0","0","0","0","2","0","","","","","","","","","",""
"TOTAL","182","157","1","0","41","5","126","1","513","166","TOTAL","78","98","0","0","4","2","37","1","220"
