"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","9","6","0","0","0","2","0","17","6","COUNTY TRANSFER - OUT","21","25","0","0","0","13","0","59"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","1","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","15","9","0","0","0","16","0","40"
"IN PERSON","2","0","0","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","50","52","1","0","0","40","1","144","32","MOVED OUT OF STATE","2","2","0","0","0","3","0","7"
"NVRA BY MAIL","0","0","0","0","0","1","0","1","3","OTHER","2","9","0","0","0","1","0","12"
"OTHER MEANS","0","0","0","0","1","0","1","2","1","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","4","0","0","0","0","0","0","4","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","65","60","1","0","1","43","2","172","45","TOTAL","40","45","0","0","0","34","0","119"
