"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","1","0","0","0","0","1","0","2"
"BY MAIL","134","57","4","0","3","66","2","266","32","COUNTY TRANSFER - OUT","116","58","1","1","1","43","1","221"
"DESIGNATED STATE AGENCIES","1","3","0","0","0","1","0","5","0","CRIMINAL CONVICTION","1","1","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","3","1","0","0","0","1","0","5"
"FROM ANOTHER BOARD","2","2","0","0","0","2","0","6","0","DUPLICATE","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","527","258","2","1","4","203","9","1,004"
"IN PERSON","5","1","0","0","0","0","0","6","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","285","133","5","2","9","224","3","661","57","MOVED OUT OF STATE","14","12","0","0","0","9","0","35"
"NVRA BY MAIL","1","1","0","0","0","2","0","4","0","OTHER","3","2","0","0","0","5","0","10"
"OTHER MEANS","252","205","5","1","3","269","4","739","51","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","682","402","14","3","15","564","9","1,689","141","TOTAL","666","332","3","2","5","263","10","1,281"
