"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","5","5","0","0","0","2","0","12","1","COUNTY TRANSFER - OUT","14","9","0","0","0","2","0","25"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","3","CRIMINAL CONVICTION","3","0","0","0","0","0","0","3"
"ELDERLY / DISABLED","0","1","0","0","0","0","0","1","0","DEATH NOTICE","2","0","0","0","0","1","0","3"
"FROM ANOTHER BOARD","4","1","0","0","0","2","0","7","0","DUPLICATE","0","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","5","0","0","0","4","0","14"
"IN PERSON","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","48","42","0","0","1","40","1","132","16","MOVED OUT OF STATE","1","9","0","0","0","2","0","12"
"NVRA BY MAIL","2","1","0","0","0","2","0","5","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","2","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","42","26","0","0","1","23","1","93"
"SOCIAL SERVICES","0","1","0","0","0","1","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","60","51","0","0","1","47","1","160","22","TOTAL","67","49","0","0","1","33","1","151"
