"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","5","4","0","0","0","2","0","11","1","COUNTY TRANSFER - OUT","5","9","1","0","1","9","0","25"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","4","1","0","0","0","1","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","10","8","0","0","0","0","0","18"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","41","15","0","0","0","31","0","87"
"IN PERSON","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","7","5","0","0","0","11","0","23","8","MOVED OUT OF STATE","4","5","0","0","0","1","0","10"
"NVRA BY MAIL","1","0","0","0","0","1","0","2","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","4","0","0","0","0","0","5","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","0","1","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","3","0","0","0","0","0","3","0","","","","","","","","",""
"TOTAL","15","16","0","0","0","14","0","45","9","TOTAL","64","39","1","0","1","43","0","148"
