"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","1","0","2","2","BOARD ACTION","2","0","0","0","0","1","0","3"
"BY MAIL","459","86","2","0","1","65","0","613","93","COUNTY TRANSFER - OUT","501","90","4","0","4","100","4","703"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","4","CRIMINAL CONVICTION","71","4","0","0","0","16","0","91"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","2","DEATH NOTICE","2","0","0","0","0","0","0","2"
"FROM ANOTHER BOARD","5","4","1","0","0","0","0","10","3","DUPLICATE","5","2","0","0","0","2","0","9"
"PROVISIONAL BALLOT","0","0","0","0","0","1","0","1","2","MAIL VERIFICATION (NVRA)","1,118","176","2","0","6","241","6","1,549"
"IN PERSON","1","1","0","0","0","1","0","3","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","635","116","1","3","3","240","14","1,012","131","MOVED OUT OF STATE","37","7","0","0","2","8","0","54"
"NVRA BY MAIL","2","0","0","0","0","0","0","2","1","OTHER","2","1","0","0","0","0","0","3"
"OTHER MEANS","20","7","0","0","0","7","0","34","34","VOTER REQUEST","2","1","0","0","0","1","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","122","10","1","0","1","23","1","158"
"SOCIAL SERVICES","14","1","0","0","0","11","0","26","1","","","","","","","","",""
"VOLUNTEER","24","4","0","1","0","8","0","37","0","","","","","","","","",""
"TOTAL","1,162","219","4","4","4","334","14","1,741","276","TOTAL","1,862","291","7","0","13","392","11","2,576"
