"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","165","108","3","0","1","40","0","317","63","COUNTY TRANSFER - OUT","141","83","1","0","2","59","0","286"
"DESIGNATED STATE AGENCIES","6","2","0","0","0","1","0","9","0","CRIMINAL CONVICTION","19","6","0","0","0","5","0","30"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","2","1","0","0","0","1","0","4"
"FROM ANOTHER BOARD","7","5","0","0","0","1","0","13","3","DUPLICATE","6","5","0","0","0","4","0","15"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1,217","800","11","0","12","691","4","2,735"
"IN PERSON","2","0","0","0","0","0","0","2","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","402","302","5","1","7","323","3","1,043","142","MOVED OUT OF STATE","51","47","1","1","0","32","0","132"
"NVRA BY MAIL","16","20","0","0","0","16","0","52","15","OTHER","1","1","0","0","0","2","0","4"
"OTHER MEANS","17","23","0","0","0","17","0","57","18","VOTER REQUEST","1","2","0","0","0","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","2","0","0","0","2","0","5"
"SOCIAL SERVICES","3","1","0","0","0","1","0","5","0","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","1","0","2","0","","","","","","","","",""
"TOTAL","618","462","8","1","8","400","3","1,500","244","TOTAL","1,439","947","13","1","14","796","4","3,214"
