"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","0","0","0","0","1","0","6","5","BOARD ACTION","3","0","0","0","0","2","0","5"
"BY MAIL","1,395","620","11","1","11","436","7","2,481","421","COUNTY TRANSFER - OUT","2,060","931","14","2","19","567","42","3,635"
"DESIGNATED STATE AGENCIES","50","18","1","0","2","11","1","83","10","CRIMINAL CONVICTION","192","31","0","0","0","56","4","283"
"ELDERLY / DISABLED","330","67","5","0","2","163","4","571","7","DEATH NOTICE","177","120","1","0","0","23","2","323"
"FROM ANOTHER BOARD","27","20","2","0","0","8","0","57","52","DUPLICATE","97","28","0","0","0","25","9","159"
"PROVISIONAL BALLOT","0","1","0","0","0","1","0","2","9","MAIL VERIFICATION (NVRA)","14,633","8,130","104","6","112","6,119","151","29,255"
"IN PERSON","27","17","1","0","0","11","0","56","24","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","4,722","2,064","50","13","82","2,923","53","9,907","1,217","MOVED OUT OF STATE","481","299","8","2","5","179","15","989"
"NVRA BY MAIL","73","66","2","0","0","63","0","204","27","OTHER","37","26","0","0","0","36","0","99"
"OTHER MEANS","610","442","17","1","11","508","13","1,602","6,958","VOTER REQUEST","7","5","0","0","0","2","0","14"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","197","58","1","0","2","63","2","323"
"SOCIAL SERVICES","66","10","0","0","1","39","1","117","15","","","","","","","","",""
"VOLUNTEER","92","126","3","1","3","79","0","304","0","","","","","","","","",""
"TOTAL","7,397","3,451","92","16","112","4,243","79","15,390","8,745","TOTAL","17,884","9,628","128","10","138","7,072","225","35,085"
