"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","NLM","LIB","GRN","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","","GRN UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","155","44","1","3","1","41","2","247","40","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","561","198","5","4","1","210","9","988","290","CONFIRMATION MAIL","8","5","0","0","1","3","0","17"
"DESIGNATED STATE AGENCIES","312","76","0","1","0","230","11","630","72","COUNTY TRANSFER - OUT","6,261","1,850","8","74","25","2,523","153","10,894"
"ELDERLY / DISABLED / SOC SEC","489","129","11","5","0","241","16","891","0","CRIMINAL CONVICTION","38","2","0","0","0","12","3","55"
"ERIC REPORT","566","230","0","6","3","239","16","1,060","3","DEATH NOTICE","2,475","1,335","1","8","1","543","45","4,408"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","111","61","0","2","1","54","5","234"
"PROVISIONAL BALLOT","12","0","0","0","0","0","0","12","10","MAIL VERIFICATION (NVRA)","2,276","665","4","28","15","1,699","101","4,788"
"IN PERSON","133","54","2","0","0","56","0","245","12","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","11491","4135","452","152","4","8048","305","24,587","813","MOVED OUT OF STATE","455","181","0","4","0","165","11","816"
"NVRA BY MAIL","55","40","0","0","0","33","1","129","10","OTHER","62","19","2","3","0","41","7","134"
"ONLINE REGISTRATION","2997","968","90","32","2","1615","43","5,747","5","VOTER REQUEST","257","78","1","2","0","90","3","431"
"OTHER MEANS","493","101","2","5","5","196","17","819","49","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SAME DAY REGISTRATION","5","0","0","0","0","1","0","6","0","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","50","11","1","0","0","25","0","87","0","","","","","","","","",""
"TOTAL","17,319","5,986","564","208","16","10,935","420","35,448","1,304","TOTAL","11,943","4,196","16","121","43","5,130","328","21,777"
