"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","14","9","0","0","0","12","2","37","5","COUNTY TRANSFER - OUT","23","29","0","0","0","10","0","62"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","21","21","0","0","0","4","0","46"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","28","22","0","0","0","16","0","66"
"IN PERSON","0","2","0","0","0","0","0","2","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","90","88","1","2","3","67","1","252","34","MOVED OUT OF STATE","2","16","0","0","0","6","0","24"
"NVRA BY MAIL","3","3","0","0","1","2","0","9","0","OTHER","6","0","1","0","0","3","0","10"
"OTHER MEANS","2","3","0","0","0","1","0","6","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","7","0","0","0","0","3","1","11","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","117","105","1","2","4","85","4","318","42","TOTAL","83","88","1","0","0","39","0","211"
