"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","5","17","0","0","0","11","1","34","5","COUNTY TRANSFER - OUT","27","23","0","0","0","20","0","70"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","1","0","0","1","3","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","38","20","0","0","0","10","1","69"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","2","0","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","3","0","0","0","1","1","5"
"IN PERSON","2","0","0","0","0","2","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","50","55","1","1","1","55","0","163","38","MOVED OUT OF STATE","3","10","0","0","0","2","0","15"
"NVRA BY MAIL","2","1","0","0","1","4","0","8","6","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","1","0","0","0","0","0","0","1","41","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","1","0","0","0","2","0","6","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","63","74","1","1","2","74","1","216","92","TOTAL","73","57","0","0","1","37","2","170"
