"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","0","0","0","3","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","42","11","0","1","0","11","1","66","17","COUNTY TRANSFER - OUT","55","23","0","0","0","20","1","99"
"DESIGNATED STATE AGENCIES","3","0","0","0","1","1","0","5","0","CRIMINAL CONVICTION","41","8","0","0","0","13","0","62"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","51","22","0","0","0","8","0","81"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","3","0","DUPLICATE","3","2","0","0","0","0","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","2","5","0","0","0","1","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","206","57","2","1","2","87","0","355","43","MOVED OUT OF STATE","10","13","0","0","0","5","0","28"
"NVRA BY MAIL","5","1","0","0","0","2","0","8","0","OTHER","0","0","0","0","0","1","0","1"
"OTHER MEANS","4","0","0","0","0","1","0","5","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","267","76","2","2","3","103","1","454","61","TOTAL","161","68","0","0","0","47","1","277"
