"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","4","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","130","69","2","0","0","57","2","260","28","COUNTY TRANSFER - OUT","130","54","2","0","1","59","1","247"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","1","CRIMINAL CONVICTION","4","2","0","0","0","2","0","8"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","0","0","0","0","0","1","0","1"
"FROM ANOTHER BOARD","3","0","0","0","0","0","1","4","3","DUPLICATE","2","0","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","2","MAIL VERIFICATION (NVRA)","5","1","0","0","0","1","0","7"
"IN PERSON","2","7","0","0","0","1","0","10","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","234","136","1","1","3","211","2","588","90","MOVED OUT OF STATE","17","16","0","0","2","13","0","48"
"NVRA BY MAIL","2","1","0","0","0","3","0","6","1","OTHER","1","4","0","0","0","4","0","9"
"OTHER MEANS","3","1","0","0","0","1","0","5","31","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","3","0","0","1","0","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","1","7","0","0","0","0","0","8","0","","","","","","","","",""
"TOTAL","377","221","3","1","3","273","5","883","168","TOTAL","159","80","2","0","4","81","1","327"
