"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","75","5","0","0","0","5","0","85","17","BOARD ACTION","1","0","0","0","0","1","0","2"
"BY MAIL","305","46","4","0","1","60","2","418","103","COUNTY TRANSFER - OUT","517","101","5","0","1","91","4","719"
"DESIGNATED STATE AGENCIES","4","0","0","0","0","1","0","5","0","CRIMINAL CONVICTION","96","4","0","0","0","6","0","106"
"ELDERLY / DISABLED","14","0","0","0","0","1","0","15","0","DEATH NOTICE","271","19","0","0","0","15","0","305"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","3","4","DUPLICATE","29","4","0","0","0","7","0","40"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","2","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","1"
"IN PERSON","1","0","0","0","0","0","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","892","176","6","0","4","375","13","1,466","218","MOVED OUT OF STATE","24","1","0","0","0","10","0","35"
"NVRA BY MAIL","11","2","0","0","0","2","0","15","0","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","32","6","0","0","0","9","1","48","9","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","15","0","0","0","1","3","0","19","3","","","","","","","","",""
"VOLUNTEER","58","4","0","0","1","8","1","72","0","","","","","","","","",""
"TOTAL","1,409","240","10","0","7","464","17","2,147","357","TOTAL","940","129","5","0","1","131","4","1,210"
