"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","15","19","0","0","0","15","0","49","1","COUNTY TRANSFER - OUT","36","37","0","0","2","21","4","100"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","2","2","0","0","0","1","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","35","39","0","0","0","3","0","77"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","1","1","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","1","1","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","80","95","2","0","2","126","0","305","35","MOVED OUT OF STATE","12","17","0","0","0","5","2","36"
"NVRA BY MAIL","2","5","0","0","0","0","0","7","0","OTHER","3","2","0","0","0","0","0","5"
"OTHER MEANS","3","4","0","0","0","3","0","10","0","VOTER REQUEST","0","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","7","8","0","0","0","8","0","23"
"SOCIAL SERVICES","0","0","0","0","0","1","0","1","0","","","","","","","","",""
"VOLUNTEER","1","3","0","0","0","0","0","4","0","","","","","","","","",""
"TOTAL","102","129","2","0","2","145","0","380","36","TOTAL","96","107","0","0","2","38","6","249"
