"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","67","15","0","0","17","2","101","26","BOARD ACTION","2","1","0","0","0","0","3"
"BY MAIL","52","33","0","0","23","1","109","169","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"DESIGNATED STATE AGENCIES","3","0","0","0","0","0","3","11","COUNTY TRANSFER - OUT","977","193","0","1","156","14","1,341"
"ELDERLY / DISABLED / SOC SEC","84","14","1","1","15","1","116","2","CRIMINAL CONVICTION","11","3","0","0","5","0","19"
"ERIC REPORT","2","0","0","0","0","0","2","1","DEATH NOTICE","1,759","910","0","4","388","39","3,100"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","10","5","0","0","2","0","17"
"PROVISIONAL BALLOT","1643","368","2","3","191","10","2,217","1,247","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","12","6","0","0","3","0","21","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","89","39","658","1","30","2","819","13","MOVED OUT OF STATE","111","93","0","3","65","2","274"
"NVRA BY MAIL","0","3","0","0","0","0","3","0","OTHER","58","12","0","1","40","7","118"
"ONLINE REGISTRATION","76","14","2","0","20","3","115","0","VOTER REQUEST","67","32","1","0","24","1","125"
"OTHER MEANS","43","11","1","0","20","2","77","35","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"SAME DAY REGISTRATION","974","325","1","0","107","10","1,417","113","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","1","0","","","","","","","",""
"TOTAL","3,045","829","665","5","426","31","5,001","1,621","TOTAL","2,995","1,249","1","9","680","63","4,997"
