"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","1","0","3","24","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","164","67","0","2","0","1","76","3","313","700","CONFIRMATION MAIL","10","0","0","0","0","0","0","0","10"
"DESIGNATED STATE AGENCIES","227","42","0","0","6","0","143","18","436","12","COUNTY TRANSFER - OUT","6,459","2,110","26","65","14","10","2,330","125","11,139"
"ELDERLY / DISABLED / SOC SEC","254","59","0","3","3","1","158","60","538","0","CRIMINAL CONVICTION","26","6","0","0","0","0","14","1","47"
"ERIC REPORT","2599","856","10","28","9","4","930","54","4,490","2","DEATH NOTICE","2,147","932","1","3","3","0","378","50","3,514"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","214","67","1","0","1","0","82","7","372"
"PROVISIONAL BALLOT","6","0","0","0","0","0","1","0","7","3","MAIL VERIFICATION (NVRA)","2,864","1,113","19","37","3","1","1,384","50","5,471"
"IN PERSON","14","4","0","0","0","0","5","1","24","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","9171","3012","41","155","27","6","5138","162","17,712","856","MOVED OUT OF STATE","200","142","1","3","0","0","95","5","446"
"NVRA BY MAIL","3","0","1","0","0","0","1","0","5","0","OTHER","5","3","0","0","0","0","3","1","12"
"ONLINE REGISTRATION","207","57","6","3","1","0","99","4","377","7","VOTER REQUEST","6","6","0","1","0","0","7","0","20"
"OTHER MEANS","29","13","0","0","0","0","22","1","65","153","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","1","0","0","0","0","0","1","0","2","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","12,678","4,110","58","191","46","12","6,575","303","23,973","1,762","TOTAL","11,931","4,379","48","109","21","11","4,293","239","21,031"
