"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","55","15","0","0","20","1","91","39","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","567","279","1","7","157","9","1,020","647","CONFIRMATION MAIL","3","4","0","0","2","0","9"
"DESIGNATED STATE AGENCIES","204","94","0","1","167","11","477","13","COUNTY TRANSFER - OUT","7,498","2,819","1","101","3,520","248","14,187"
"ELDERLY / DISABLED / SOC SEC","136","57","1","1","95","7","297","1","CRIMINAL CONVICTION","37","11","0","1","16","5","70"
"ERIC REPORT","2168","674","0","26","1119","95","4,082","13","DEATH NOTICE","4,990","1,887","0","17","1,015","103","8,012"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","439","131","0","2","118","23","713"
"PROVISIONAL BALLOT","40","9","0","0","6","1","56","639","MAIL VERIFICATION (NVRA)","17,254","8,314","8","185","10,130","377","36,268"
"IN PERSON","68","24","2","1","31","2","128","188","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","10025","5282","529","227","9519","331","25,913","669","MOVED OUT OF STATE","302","333","0","4","198","9","846"
"NVRA BY MAIL","30","19","0","0","12","0","61","6","OTHER","25","5","0","0","9","1","40"
"ONLINE REGISTRATION","502","326","17","10","337","13","1,205","2","VOTER REQUEST","101","52","0","1","51","4","209"
"OTHER MEANS","157","30","0","0","56","5","248","69","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"SAME DAY REGISTRATION","1","3","0","0","0","0","4","3","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","51","12","3","1","35","1","103","0","","","","","","","",""
"TOTAL","14,004","6,824","553","274","11,554","476","33,685","2,289","TOTAL","30,649","13,556","9","311","15,059","770","60,354"
