"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","12","5","0","0","8","0","25","3","COUNTY TRANSFER - OUT","12","4","0","0","12","0","28"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","9","5","0","0","1","0","15"
"FROM ANOTHER BOARD","0","1","0","0","1","0","2","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","4","7","0","0","0","0","11","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","25","12","0","1","16","1","55","19","MOVED OUT OF STATE","2","0","0","0","0","0","2"
"NVRA BY MAIL","0","3","0","0","3","0","6","0","OTHER","0","1","0","0","2","0","3"
"OTHER MEANS","2","2","0","0","3","0","7","2","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","3","0","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","41","6","0","0","9","0","56","0","","","","","","","",""
"TOTAL","85","36","0","1","40","1","163","25","TOTAL","25","10","0","0","18","0","53"
