"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","1","0","4","3","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","170","61","1","1","108","5","346","26","COUNTY TRANSFER - OUT","164","98","1","1","60","1","325"
"DESIGNATED STATE AGENCIES","3","2","0","0","2","1","8","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","56","29","0","0","7","1","93"
"FROM ANOTHER BOARD","3","0","0","0","0","0","3","3","DUPLICATE","7","4","0","0","2","0","13"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","35","24","3","0","20","1","83"
"IN PERSON","9","3","1","0","7","1","21","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","299","143","2","6","186","4","640","20","MOVED OUT OF STATE","26","26","0","0","10","0","62"
"NVRA BY MAIL","29","9","0","1","9","0","48","1","OTHER","11","1","0","0","3","0","15"
"OTHER MEANS","3","0","0","0","3","0","6","89","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","1","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","5","0","0","0","0","6","0","","","","","","","",""
"TOTAL","519","224","4","8","316","11","1,082","146","TOTAL","299","183","4","1","103","3","593"
